,stature,weightkg,waistcircumference,buttockcircumference
587,168.9,79.7,774,1056
588,165.70000000000002,61.900000000000006,846,1004
589,164.70000000000002,67.7,861,1005
590,167.0,54.400000000000006,724,879
591,149.6,64.60000000000001,928,1002
592,171.70000000000002,88.2,1026,1101
593,153.1,63.400000000000006,915,1043
594,166.60000000000002,76.5,987,1092
595,157.4,65.4,915,1045
596,166.3,83.7,888,1105
597,161.70000000000002,65.2,863,982
598,158.5,62.400000000000006,857,966
599,164.70000000000002,99.4,1037,1217
600,164.3,74.8,950,1075
601,167.70000000000002,64.9,877,999
602,167.0,54.2,665,919
603,165.10000000000002,81.4,885,1165
604,152.5,56.300000000000004,812,969
605,171.5,96.7,1096,1197
606,160.20000000000002,83.7,1006,1035
607,157.0,50.2,685,873
608,166.20000000000002,65.7,944,1001
609,156.10000000000002,70.7,973,1063
610,154.3,66.9,975,1080
611,156.20000000000002,59.7,853,981
612,162.70000000000002,72.0,885,1072
613,167.8,75.0,816,1057
614,160.8,67.3,982,1076
615,167.20000000000002,78.4,856,1132
616,166.10000000000002,51.6,710,898
617,157.4,63.0,890,1011
618,167.0,79.30000000000001,990,1062
619,158.5,56.400000000000006,793,1001
620,157.4,68.7,962,1049
621,161.70000000000002,59.0,727,969
622,159.20000000000002,60.300000000000004,770,994
623,170.5,69.9,930,1020
624,162.0,57.300000000000004,849,947
625,157.9,65.4,882,1003
626,166.10000000000002,60.300000000000004,749,958
627,159.5,77.10000000000001,935,1074
628,164.60000000000002,76.7,903,1038
629,152.20000000000002,66.7,890,1038
630,176.0,78.30000000000001,900,1079
631,150.5,51.800000000000004,752,897
632,170.8,66.3,803,994
633,165.9,65.5,861,963
634,161.3,69.0,906,992
635,166.60000000000002,68.0,870,988
636,156.5,60.900000000000006,860,1014
637,157.8,64.60000000000001,785,1037
638,148.0,54.0,770,930
639,163.60000000000002,53.0,756,933
640,160.8,78.9,901,1063
641,155.20000000000002,43.1,658,801
642,155.9,74.60000000000001,873,1089
643,159.5,71.2,1033,1090
644,167.4,72.7,863,1052
645,166.10000000000002,61.300000000000004,761,974
646,155.0,57.400000000000006,792,917
647,159.70000000000002,65.5,832,1013
648,154.3,57.7,753,946
649,163.60000000000002,58.5,760,930
650,156.3,62.7,913,1012
651,150.6,53.5,779,934
652,168.9,65.2,803,969
653,160.0,70.2,878,1047
654,182.70000000000002,93.10000000000001,1080,1136
655,159.4,53.2,742,937
656,176.8,73.5,817,1014
657,165.8,55.7,759,897
658,162.9,65.5,865,981
659,167.20000000000002,69.10000000000001,855,1027
660,178.3,96.5,967,1134
661,157.10000000000002,70.2,992,1011
662,152.5,52.300000000000004,736,875
663,159.5,66.0,876,999
664,170.8,81.4,947,1082
665,181.8,95.2,1000,1145
666,168.8,65.8,802,956
667,156.8,50.300000000000004,695,936
668,155.5,54.7,807,943
669,164.5,68.8,918,1034
670,163.10000000000002,60.400000000000006,750,958
671,156.3,66.9,881,1005
672,156.60000000000002,59.900000000000006,806,1000
673,158.5,61.6,875,1014
674,151.8,54.800000000000004,798,952
675,159.0,60.400000000000006,716,938
676,146.20000000000002,51.900000000000006,829,920
677,159.9,64.0,943,1007
678,166.5,66.9,834,1058
679,171.20000000000002,79.10000000000001,958,1063
680,163.4,59.800000000000004,796,958
681,162.8,73.60000000000001,865,1030
682,162.5,82.5,1052,1077
683,171.8,75.60000000000001,881,1083
684,160.4,59.5,767,946
685,174.8,86.30000000000001,978,1171
686,165.0,68.60000000000001,936,983
687,167.9,76.3,970,1063
688,163.5,72.5,904,1052
689,167.3,63.900000000000006,783,979
690,164.3,55.900000000000006,772,927
691,169.10000000000002,76.4,960,1044
692,167.20000000000002,69.9,871,1001
693,163.8,63.0,825,1010
694,167.60000000000002,60.6,734,954
695,165.5,68.0,852,1017
696,167.5,65.4,813,1029
697,150.8,53.800000000000004,765,960
698,167.9,73.10000000000001,955,1058
699,169.20000000000002,76.60000000000001,882,1099
700,163.10000000000002,57.7,800,935
701,153.3,59.800000000000004,827,984
702,156.3,68.60000000000001,887,1064
703,165.5,70.8,830,1049
704,149.6,48.800000000000004,697,880
705,177.70000000000002,76.60000000000001,857,1052
706,154.60000000000002,58.300000000000004,788,948
707,168.5,68.5,936,1039
708,160.8,58.5,768,975
709,163.20000000000002,71.9,833,1044
710,169.0,64.9,802,993
711,165.5,58.300000000000004,742,926
712,157.4,64.8,850,1027
713,165.9,56.400000000000006,758,923
714,154.10000000000002,47.800000000000004,706,870
715,167.5,59.1,775,951
716,165.20000000000002,66.5,912,1038
717,159.3,64.9,886,1042
718,156.5,51.2,755,905
719,153.0,49.6,765,872
720,160.0,74.4,897,1026
721,161.5,68.0,868,984
722,155.70000000000002,50.6,790,900
723,167.9,59.1,785,938
724,166.20000000000002,71.2,864,1045
725,169.60000000000002,84.4,967,1121
726,165.70000000000002,54.7,760,939
727,149.5,48.7,726,903
728,164.4,61.2,842,989
729,165.20000000000002,72.2,865,1035
730,156.60000000000002,56.7,888,959
731,165.3,68.8,819,1002
732,160.4,54.2,739,945
733,159.4,61.1,805,980
734,162.70000000000002,67.2,880,1038
735,172.9,74.9,810,1029
736,160.20000000000002,58.5,803,928
737,161.5,60.5,787,977
738,164.5,60.1,787,986
739,162.3,62.1,821,948
740,159.5,60.900000000000006,723,922
741,148.0,47.0,628,833
742,169.60000000000002,78.60000000000001,951,1085
743,168.0,72.5,857,1066
744,159.0,51.6,726,894
745,152.9,50.1,700,870
746,155.10000000000002,62.6,860,980
747,170.9,78.7,832,1072
748,158.9,57.2,818,927
749,161.60000000000002,67.0,813,1058
750,164.3,53.5,705,925
751,158.70000000000002,63.800000000000004,768,1037
752,169.10000000000002,75.2,779,1043
753,155.8,51.900000000000006,699,894
754,161.10000000000002,60.2,768,961
755,172.4,70.10000000000001,898,1011
756,162.3,78.2,900,1063
757,168.60000000000002,61.1,791,903
758,158.70000000000002,63.1,895,973
759,154.60000000000002,54.0,710,903
760,168.20000000000002,61.900000000000006,827,941
761,151.9,57.7,812,985
762,163.10000000000002,67.3,808,1002
763,152.5,60.800000000000004,789,1027
764,165.70000000000002,90.5,1092,1158
765,165.3,68.2,815,995
766,144.70000000000002,68.3,937,1036
767,161.5,77.80000000000001,1040,1056
768,173.20000000000002,64.8,854,1009
769,173.3,108.2,1076,1265
770,176.0,87.5,1031,1165
771,166.9,78.80000000000001,930,1078
772,160.20000000000002,84.4,976,1124
773,161.10000000000002,66.7,916,998
774,160.70000000000002,74.9,927,1030
775,158.20000000000002,82.7,1032,1158
776,163.60000000000002,69.5,925,1057
777,170.20000000000002,69.7,889,1027
778,159.10000000000002,52.800000000000004,708,887
779,172.4,78.5,925,1062
780,165.70000000000002,66.9,833,1030
781,159.10000000000002,55.6,827,929
782,163.0,84.0,1042,1160
783,173.0,83.10000000000001,961,1061
784,169.5,73.5,866,1064
785,159.8,76.3,911,1110
786,160.60000000000002,63.7,875,1006
787,164.4,70.0,906,1016
788,157.5,62.6,835,1037
789,164.20000000000002,60.7,787,960
790,161.5,70.5,943,1031
791,157.0,68.9,913,1110
792,160.70000000000002,63.300000000000004,778,974
793,162.60000000000002,56.400000000000006,722,916
794,172.9,72.9,843,1009
795,150.1,61.800000000000004,782,970
796,165.70000000000002,61.800000000000004,791,947
797,161.4,54.6,761,911
798,166.0,68.60000000000001,853,1015
799,167.5,64.10000000000001,725,927
800,163.8,63.5,779,970
801,158.4,63.400000000000006,834,1010
802,168.0,68.4,800,1021
803,166.70000000000002,68.0,835,965
804,175.8,75.10000000000001,825,1053
805,168.8,85.10000000000001,962,1139
806,163.60000000000002,58.2,823,965
807,160.70000000000002,70.9,846,1036
808,159.4,66.4,959,1062
809,169.4,75.7,907,1025
810,160.60000000000002,63.2,807,993
811,168.70000000000002,67.4,853,987
812,157.4,60.2,753,978
813,160.3,61.6,839,965
814,155.9,58.400000000000006,762,922
815,165.9,71.7,861,1042
816,161.4,60.6,845,960
817,163.0,64.8,818,994
818,143.5,47.800000000000004,760,885
819,167.20000000000002,75.10000000000001,885,1037
820,170.8,73.9,872,1020
821,167.60000000000002,68.60000000000001,887,991
822,160.9,62.0,788,1018
823,159.0,74.0,937,1055
824,162.9,59.800000000000004,798,946
825,159.8,64.5,826,987
826,156.0,56.300000000000004,761,939
827,168.8,68.60000000000001,822,959
828,174.5,69.60000000000001,803,970
829,167.3,63.1,791,955
830,166.20000000000002,72.9,846,1035
831,157.60000000000002,54.800000000000004,762,889
832,172.0,65.0,860,954
833,170.10000000000002,70.0,867,1033
834,162.0,58.0,793,930
835,167.0,73.8,928,1044
836,163.0,47.800000000000004,672,853
837,163.60000000000002,58.300000000000004,785,958
838,171.4,84.9,916,1177
839,170.20000000000002,73.2,854,1027
840,159.0,60.900000000000006,778,981
841,164.3,65.4,771,1031
842,176.9,83.2,897,1101
843,154.9,59.1,822,970
844,153.3,69.5,935,985
845,159.20000000000002,60.900000000000006,828,964
846,160.9,65.0,841,975
847,156.9,55.0,754,933
848,158.60000000000002,65.9,865,1017
849,157.4,70.10000000000001,827,1059
850,161.70000000000002,68.9,887,1012
851,158.9,60.7,836,972
852,167.9,73.60000000000001,917,1040
853,170.0,56.400000000000006,739,915
854,162.3,56.6,779,931
855,167.70000000000002,68.10000000000001,775,981
856,159.8,66.0,860,1018
857,162.5,53.6,700,898
858,168.5,64.7,812,963
859,168.5,77.60000000000001,908,1059
860,162.3,56.300000000000004,733,898
861,167.4,67.5,904,994
862,165.3,60.400000000000006,814,959
863,158.70000000000002,54.2,872,965
864,159.5,66.4,980,1071
865,156.3,74.4,1046,1096
